,title,plot
32,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
33,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.
34,The Pianist,"A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,In this adaptation of the autobiography ""The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945,"" Wladyslaw Szpilman, a Polish Jewish radio station pianist, sees Warsaw change gradually as World War II begins. Szpilman is forced into the Warsaw Ghetto, but is later separated from his family during Operation Reinhard. From this time until the concentration camp prisoners are released, Szpilman hides in various locations among the ruins of Warsaw.,Filmmaker Roman Polanski, who as a boy growing up in Poland watched while the Nazis devastated his country during World War II, directed this downbeat drama based on the story of a privileged musician who spent five years struggling against the Nazi occupation of Warsaw. Wladyslaw Szpilman (Adrien Brody) is a gifted classical pianist born to a wealthy Jewish family in Poland. The Szpilmans have a large and comfortable flat in Warsaw which Wladyslaw shares with his mother and father (Maureen Lipman and Frank Finlay), his sisters Halina and Regina (Jessica Kate Meyer and Julia Rayner), and his brother, Henryk (Ed Stoppard). While Wladyslaw and his family are aware of the looming presence of German forces and Hitler's designs on Poland, they're convinced that the Nazis are a menace which will pass, and that England and France will step forward to aid Poland in the event of a real crisis. Wladyslaw's naivete is shattered when a German bomb rips through a radio studio while he performs a recital for broadcast. During the early stages of the Nazi occupation, as a respected artist, he still imagines himself above the danger, using his pull to obtain employment papers for his father and landing a supposedly safe job playing piano in a restaurant. But as the German grip tightens upon Poland, Wladyslaw and his family are selected for deportation to a Nazi concentration camp. Refusing to face a certain death, Wladyslaw goes into hiding in a comfortable apartment provided by a friend. However, when his benefactor goes missing, Wladyslaw is left to fend for himself and he spends the next several years dashing from one abandoned home to another, desperate to avoid capture by German occupation troops.,A Jewish pianist named Wladislaw Szpilman was playing the piano on the radio station when an explosion occurred outside. It was the beginning of German Nazi occupation in Polland. When he returned home, his family was arguing over how they could keep the rest of their money so the German's couldn't see it. When they looked out the window, they saw their area was fenced. Since then, their life has become in a difficult situation. The German's deported his family and forcibly took on train way to concentration camp. Szpilman was left behind in the Warsaw Ghetto and struggled alone for survival.,A brilliant pianist, a Polish Jew, witnesses the restrictions Germans place on Jews in the Polish capital, from restricted access to the building of the Warsaw ghetto. As his family is rounded up to be shipped off to the German Nazi labor camps, he escapes deportation and eludes capture by living in the ruins of Warsaw.,The true story of Wladyslaw Szpilman who, in the 1930s, was known as the most accomplished piano player in all of Poland, if not Europe. At the outbreak of the Second World War, however, Szpilman becomes subject to the anti-Jewish laws imposed by the conquering Germans. By the start of the 1940s, Szpilman has seen his world go from piano concert halls to the Jewish Ghetto of Warsaw and then must suffer the tragedy of his family deported to a German concentration camps, while Szpilman is conscripted into a forced German Labor Compound. At last deciding to escape, Szpilman goes into hiding as a Jewish refugee where he is witness to the Warsaw Ghetto Uprising (April 19, 1943 - May 16, 1943) and the Warsaw Uprising (1 August to 2 October 1944)"
35,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
36,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.,Over 10 years have passed since the first machine called The Terminator tried to kill Sarah Connor and her unborn son, John. The man who will become the future leader of the human resistance against the Machines is now a healthy young boy. However, another Terminator, called the T-1000, is sent back through time by the supercomputer Skynet. This new Terminator is more advanced and more powerful than its predecessor and its mission is to kill John Connor when he's still a child. However, in the Internet and John do not have to face the threat of the T-1000 alone. Another Terminator (identical to the same model that tried and failed to kill Sarah Connor in 1984) is also sent back through time to protect them. Now, the battle for tomorrow has begun.,In 1995, one long decade after the Terminator's failed assassination mission in The Terminator (1984), a now-ten-year-old John Connor finds himself in foster care, after the imprisonment of his mother, Sarah, at a mental institution. To prevent John from changing the course of history and becoming the leader of the human Resistance Army, the self-aware computer system, Skynet, sends another cybernetic assassin; this time, a nearly indestructible, shape-shifting killer. Now, against the backdrop of an imminent nuclear Armageddon, two unstoppable cyborgs--the antiquated but lethal, T-800, and the far superior, liquid-metal model, T-1000--are after the same vulnerable target. Can Sarah and John avert the coming Judgment Day?,Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.,Skynet, the 21st century computer waging a losing war on humans sends a second terminator back in time to destroy the leader of the human resistance while he is still a boy. His mother is the only one who knows of the existence of the Terminators, human-like robots that exist only to kill and are nearly indestructible, and Sarah, the boy's mother is currently in a state mental hospital because of her 'delusions'.,It has been about 10 long years since a Terminator failed to kill Sarah Connor and her unborn son, John. Now, Skynet has sent back another Terminator. This one being more advanced than the last one. John Connor, who is now about ten years old, is the target. The future John sends back a replica of the Terminator that tried to kill him back in time to 1994. It's Terminator vs. Terminator."
37,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
38,Modern Times,"The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Chaplin's last 'silent' film, filled with sound effects, was made when everyone else was making talkies. Charlie turns against modern society, the machine age, (The use of sound in films ?) and progress. Firstly we see him frantically trying to keep up with a production line, tightening bolts. He is selected for an experiment with an automatic feeding machine, but various mishaps leads his boss to believe he has gone mad, and Charlie is sent to a mental hospital - When he gets out, he is mistaken for a communist while waving a red flag, sent to jail, foils a jailbreak, and is let out again. We follow Charlie through many more escapades before the film is out.,The idea of the film was apparently given to Chaplin by a young reporter, who told him about the production line system in Detroit, which was turning its workers into nervous wrecks. In the film, Charlie becomes literally trapped in the machine and, in one of his finest patches of comic invention, is battered and buffeted by an automatic feeding machine introduced by his bosses to save time and money. Cured after his breakdown, he is arrested when he picks up a red flag that has fallen off the back of a lorry, and runs down the street to return it, exactly the same time as a left-wing demonstration comes round the corner. He meets 'The Gamine' in the back of the police van, who has also been arrested for stealing bread. From then on the theme is about two nondescripts trying to get along in modern times. ""Smile, though your heart is breaking ..."",A little tramp is finding it difficult to match his own sensibilities to the modern mechanized world. Failing as a worker on a factory assembly line, he gets into a series of adventures and misadventures, which leads to him meeting a young recently orphaned gamine who ran away rather than end up in an orphanage. They try to survive in the world together, both on the run from the law, although his previous stints behind bars were to him more comforting than life outside in the cold modern world. Beyond being wanted by the law, the question becomes whether they individually or together can find their proper place in the ever changing world which seems out to get them.,The story begins on the life of a factory working who is employed on the assembly line. His job sees him screwing nuts at an ever-increasing rate as part of the assembly line as well as being subjected to new, untested inventions like an 'automatic feeding machine'. This daily monotony pushes him over the edge and, after a lengthy stay in an asylum, is arrested for being mistakenly taken as an instigator at a communist rally. What follows is the factory worker meeting the love of his life, taking on several new jobs and trying to make what proves to be a difficult living."
39,Gladiator,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge.,Commodus takes power and strips rank from Maximus, one of the favored generals of his predecessor and father, Emperor Marcus Aurelius, the great stoical philosopher. Maximus is then relegated to fighting to the death in the gladiator arenas.,In 180 A.D. Rome, the weary and dying emperor, Marcus Aurelius, names his loyal and triumphant general, Maximus Decimus Meridius, his successor and protector of Rome, much to the dismay of his haughty and unbalanced son, Commodus. But, instead, death and entrapment await, as the embittered and blind with rage rival rewards Rome's hero with an order for his execution, only to wind up as a slave to the former gladiator, Proximo. From the vast deserts of North Africa, a new Maximo will rise as a gladiator, hacking and slashing his way through all the way up to Mother Rome and the unsuspecting dictator, Commodus. But will the popular general ever find peace in a long-awaited retribution?,In Gladiator, victorious general Maximus Decimus Meridias has been named keeper of Rome and its empire by dying emperor Marcus Aurelius, so that rule might pass from the Caesars back to the people and Senate. Marcus' neglected and power-hungry son, Commodus, has other ideas, however. Escaping an ordered execution, Maximus hurries back to his home in Spain, too late to save his wife and son from the same order. Taken into slavery and trained as a gladiator by Proximo, Maximus lives only that he might someday take his revenge and fulfill the dying wish of his emperor. The time soon comes when Proximo's troupe is called to Rome to participate in a marathon of gladiator games held at the behest of the new emperor, Commodus. Once in Rome, Maximus wastes no time in making his presence known, and is soon involved in a plot to overthrow the emperor with his former-love Lucilla, Commodus' sister, after whom he lusts, and also the widowed mother of Lucius, heir to the empire after his uncle, and democratic-minded senator, Gracchus.,A dying Marcus Aurelius plans to name his loyal and brave General Maximus as his successor in order to restore the power of the Roman Senate. However, his power-hungry, jealous son Commodus learns of the plan, murders Marcus Aurelius, and plans to execute Maximus in order to secure his claim to the throne. Maximus escapes execution, but is sold into slavery and is forced to become a gladiator. Eventually, Maximus and his fellow gladiators are sent to Rome to perform for Commodus. Through his bravery he wins over the masses and reveals his true identity, much to the chagrin of Commodus. Can Maximus use his newfound popularity to avenge Marcus Aurelius' death, or will Commodus be able to keep the throne?"
40,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.,Phoenix office worker Marion Crane is fed up with the way life has treated her. She has to meet her lover Sam in lunch breaks, and they cannot get married because Sam has to give most of his money away in alimony. One Friday, Marion is trusted to bank forty thousand dollars by her employer. Seeing the opportunity to take the money and start a new life, Marion leaves town and heads towards Sam's California store. Tired after the long drive and caught in a storm, she gets off the main highway and pulls into the Bates Motel. The motel is managed by a quiet young man called Norman who seems to be dominated by his mother.,Stressed and under pressure because of stealing a large amount of money from her employer and running away, a partly poor office worker who's committed theft in order to be able to marry the man she loves, gets lost and decides to stay at a motel for the night, regretting what she's done. But on her single night at the motel, she finds out it was a mistake to choose this motel, as she finds its young depressed manager's mother an unrelenting psycho.,Phoenix-based Marion Crane, who has for ten years worked as an assistant to real estate agent George Lowery, laments the fact she and her divorced boyfriend, Sam Loomis, can't get married due to money issues, he a penniless hardware store clerk whose debt is a result of having to pay alimony. Marion senses an opportunity when one of Lowery's wealthy clients pays his account with forty thousand dollars cash, Marion is tasked with taking the money to the bank. Being a Friday afternoon, Marion believes she can slip out of town immediately undetected with the money to join Sam in Fairvale, California where he lives, before Lowery would even suspect that she has absconded with the money the earliest by Monday. Despite several close calls, Marion is able to make it to fifteen miles short of Fairvale at the Bates Motel, where she stops on the rainy Saturday night. The isolated motel has had little business ever since the state highway was moved. The motel is run by friendly, but lonely Norman Bates, who lives with with his invalid mother in the big, old house on the hill overlooking the motel. Although she doesn't meet Mrs. Bates, Marion knows that she is an angry, controlling woman based on an argument she overhears between her and Norman. Norman admits that his mother is mentally mad. That evening, Marion has a change of heart and contemplates returning to Phoenix to return the money. But she never makes it either to Phoenix or Fairvale. As such, several people come looking for her, including Sam, who is suspected of being in cahoots with Marion in stealing the money, Marion's worried sister Lila Crane, who is able to convince Lowery not to press charges if Marion returns the money, and a private investigator named Arbogast who was hired by Lowery. At various times, they all make their way to the mysterious Bates Motel, where Mrs. Bates will do whatever required to maintain control of what happens at the motel and within her family.,For Marion Crane, it's been quite an eventful day. The day before, she had stolen forty thousand dollars from her employer's client, packed her bags and driven all day on her way to join her paramour several hundred miles away. Now, she is taking a relaxing hot shower after her long day's journey. The remoteness of the motel suit her purposes perfectly. The only sounds heard are the chirping of the crickets, the splashing of the water, and her humming contentedly as the hot needles of water caress her aching shoulders.,Marion Crane is a Phoenix, Arizona working girl fed up with having to sneak away during lunch breaks to meet her lover, Sam Loomis, who cannot get married because most of his money goes towards alimony. One Friday, Marion's employer asks her to take forty thousand dollars in cash to a local bank for deposit. Desperate to make a change in her life, she impulsively leaves town with the money, determined to start a new life with Sam in California. As night falls and a torrential rain obscures the road ahead of her, Marion turns off the main highway. Exhausted from the long drive and the stress of her criminal act, she decides to spend the night at the desolate Bates Motel. The motel is run by Norman Bates, a peculiar young man dominated by his invalid mother. After Norman fixes her a light dinner, Marion goes back to her room for a shower."
41,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them."
42,City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.,A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,Charmingly simple story of The Little Tramp who meets a lovely blind girl selling flowers on the sidewalk who mistakes him for a wealthy duke. When he learns that an operation may restore her sight, he sets off to earn the money she needs to have the surgery. In a series of comedy adventures that only Chaplin could pull off, he eventually succeeds, even though his efforts land him in jail. While he is there, the girl has the operation and afterwards yearns to meet her benefactor. The tear-inducing closing scene, in which she discovers that he is not a wealthy duke but only The Little Tramp, is one of the highest moments in movies.,A little tramp living in the big city has a profound effect on two people he meets. The first is a wealthy man, who the tramp saves from killing himself during the wealthy man's drunken stupor. However, the relationship between the wealthy man and the tramp continually changes depending on the drunken or sober state of the wealthy man. The second is a poor blind flower girl, who lives with her destitute grandmother. The kindness of the tramp toward her makes her fall in love with him, as he is with her. By circumstance, she believes that he is a wealthy man. When he learns that an expensive operation can restore her eyesight, the tramp does whatever he can to earn the money to pay for the operation, even if the result is that she will find out that he is not the wealthy man she believes and which by association may make her change her blind opinion of him.,The Little Tramp meets and falls in love with a young blind girl who sells flowers on the street corner. He also befriends an eccentric millionaire who drinks too much and only recognizes him when he is drunk. The Little Tramp gives the girl a ride home in the millionaire's car and she thinks he is rich. After a boisterous party at the millionaire's house, the rich man wakes up and has no idea who the Little Tramp is or why he is there and so throws him out on his ear. When the blind girl and her grandmother fall behind in the rent and face eviction, he tries working and even enters a boxing competition to raise the money they need, but nothing works out. He gets the money from the millionaire but is accused of theft and ends up in jail, but not before getting her enough money to not only pay the rent but to also seek treatment for her blindness. When he's released from jail, they meet again.,This classic story of love, tragedy and hope centers around a homeless tramp whom meets and instantly falls in love with a beautiful, albeit blind, flower seller. The tramp, desperate to win her love over, convinces the woman that he is a millionaire and can pay for her to get her sight back. We then follow the ebbs and flows of The Little Tramp's adventures in his pursuit to make good on his promise to The Flower Girl."
43,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.,In Paris, the aristocratic and intellectual Philippe is a quadriplegic millionaire who is interviewing candidates for the position of his carer, with his red-haired secretary Magalie. Out of the blue, Driss cuts the line of candidates and brings a document from the Social Security and asks Phillipe to sign it to prove that he is seeking a job position so he can receive his unemployment benefit. Philippe challenges Driss, offering him a trial period of one month to gain experience helping him. Then Driss can decide whether he would like to stay with him or not. Driss accepts the challenge and moves to the mansion, changing the boring life of Phillipe and his employees.,A rich quadriplegic, living in a mansion in Paris, requires a live-in carer. A young offender turns up for an interview, but he is not really looking to get the job. However, to his surprise, he is hired. The two men then develop a close friendship."
44,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
45,Grave of the Fireflies,"A young boy and his little sister struggle to survive in Japan during World War II.,The story of Seita and Setsuko, two young Japanese siblings, living in the declining days of World War II. When an American firebombing separates the two children from their parents, the two siblings must rely completely on one another while they struggle to fight for their survival.,Japan, World War 2. Teenage boy Seita and his young sister Setsuko are left homeless and effectively orphaned when their city is firebombed by US bombers. They end up living with an aunt. Initially things go well and life seems almost normal again. However, their relationship with their aunt deteriorates and Seita and Setsuko decide to leave and fend for themselves. They find a place and things seem to be going well. However, over time food gets scarcer and life becomes a constant struggle for survival.,Setsuko (aged 4) and Seita (aged 14) are brother and sister living in wartime Japan. After their mother is killed in an air raid they find a temporary home with relatives. Having quarreled with their aunt they leave the city and make their home in an abandoned shelter. While their soldier father's destiny is unknown, the two must depend on each other to somehow keep a roof over their heads and food in their stomachs. When everything is in short supply, they gradually succumb to hunger and their only entertainment is the light of the fireflies."
46,The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.,In the end of the nineteenth century, in London, Robert Angier, his beloved wife Julia McCullough, and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death, and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences.,Set in London in the 1800s, two rival magicians read each others diary containing the secrets of their magic tricks and personal life. As we go back in time when the diaries were written, both magicians become obsessed with their rival's best trick. The tricks, as shown to the audience, look the same, but neither magician can figure out how his opponent does it.,Two magicians, who used to be partners, battle over years in order to create a flawless method for the ultimate disappearing trick, ""the Transported Man"", turns into an informal war between them, and soon, they will do anything to be able to preform the trick sooner and better than the other; which as time passes makes their friends and loved ones get away from them, and little-by-little destroys their lives until they eventually succeed to preform the trick, each by a very different way.,In nineteenth century London, illusionist Alfred Borden is on trial for the murder of fellow illusionist, Robert Angier. Borden's indictment is largely possible because of the eyewitness account of John Cutter, who saw Borden backstage in the area where Angier was killed. At the end of one of his shows, Angier fell through a trap door in the stage floor into a clear water-filled tank below, that tank which was a prop for one of Angier's tricks performed earlier in the show. Angier ended up drowning, as the tank was locked after he fell into it. Borden, Angier, and Cutter have a shared largely turbulent history, which also provides motive. Early in their magic careers, both Borden and Angier worked under ""Milton the Magician"", while Angier's wife Julia worked as his on-stage assistant, and Cutter as his ingénieur, staging the tricks and providing the apparatus required, work that he still does for others. Based on a specific incident during this stage of their relationship led to both Borden and Angier striking out, creating their own shows, and them having a feud, which was not only in the professional realm, but a personal one, where each man wanted to ruin the other. While Borden is arguably more accomplished in the technical aspects of the illusions, Angier is the more accomplished showman. In the professional realm, they tried to outdo each other, especially in the illusions considered either the most dangerous and/or mysterious, those two being catching-the-bullet trick, and more so, the transported man trick. In the process of their feud, they seemingly were not averse to any means, even with collateral damage of others. The question is if those means extend to murder, especially of the other.,Illusionists Angier & Borden were once stage partners, but when a trick goes tragically wrong the pair form an intense rivalry which endangers the lives of their loved ones. The Prestige is an intricate tale of obsession, jealousy and deception.,A mysterious story of two magicians, whose intense rivalry leads them on a life-long battle for supremacy, full of obsession, deceit, and jealousy, with dangerous and deadly consequences. From the time that they first met as young magicians on the rise, Robert Angier and Alfred Borden were competitors. However, their friendly competition evolves into a bitter rivalry making them fierce enemies-for-life, and consequently jeopardizing the lives of everyone around them. Set against the backdrop of turn-of-the-century London."
47,Once Upon a Time in the West,"A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Jill McBain travels to the wild frontier; Utah - where she and her new husband planned to settle down. Upon arrival, she finds him and his children dead. There's a lot of land, and potential, but there's those who want to take it - at any cost. Even if it means killing a man and his kids.,The sprawling railways are reaching the far-west, and somewhere along its way, in a small border town, the paths of four characters are going to cross and clash: a young woman looking for a fresh start, an outlaw on the run for a crime he (this time) didn't commit, a ruthless killer on the payroll of a railroad tycoon, and a mysterious man with no name who plays a couple of sad chords on a harmonica and a few cadences on his revolver.,Jill McBain travels to the wild frontier; Utah - where she and her new husband planned to settle down. Upon arrival, she finds him and his children dead. There's a lot of land, and potential, but there's those who want to take it - at any cost. Even if it means killing a man and his kids,A young woman leaves her old life behind for her new husband and a new future out West. When her train arrives, she finds him and his children murdered. A man - only known as Harmonica, knows Frank did it, and goes after him. Just then, another outlaw - Cheyenne - appears intent on tracking down Frank. As good pursuit of Frank gets closer to him, Cheyenne leaves none of Frank's associates alive.,Nestled deep in the middle of nowhere, suddenly, Irishman Brett McBain's dusty settlement, the Sweetwater, becomes a pole of attraction for beautiful widows in black and notorious desperadoes alike. As Frank, the unscrupulous gun-for-hire, tries every trick in the book to fulfil the aspiration of his terminally ill boss, Morton, the railroad magnate, another visitor, Harmonica, the taciturn stranger with the lighting-fast right hand, enters the picture. Now, greed and ambition put everyone's already fragile allegiances to the test, as hidden personal agendas seem to rule them all. However, the past always comes back to haunt us. Can there be redemption in revenge?"
48,Casablanca,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.,In World War II Casablanca, Rick Blaine, exiled American and former freedom fighter, runs the most popular nightspot in town. The cynical lone wolf Blaine comes into the possession of two valuable letters of transit. When Nazi Major Strasser arrives in Casablanca, the sycophantic police Captain Renault does what he can to please him, including detaining a Czechoslovak underground leader Victor Laszlo. Much to Rick's surprise, Lazslo arrives with Ilsa, Rick's one time love. Rick is very bitter towards Ilsa, who ran out on him in Paris, but when he learns she had good reason to, they plan to run off together again using the letters of transit. Well, that was their original plan....,During World War II, Europeans who were fleeing from the Germans, sought refuge in America. But to get there they would first have to go Casablanca and once they get there, they have to obtain exit visas which are not very easy to come by. Now the hottest spot in all of Casablanca is Rick's Cafe which is operated by Rick Blaine, an American expatriate, who for some reason can't return there, and he is also extremely cynical. Now it seems that two German couriers were killed and the documents they were carrying were taken. Now one of Rick's regulars, Ugarte entrusts to him some letters of transit, which he intends to sell but before he does he is arrested for killing the couriers. Captain Renault, the Chief of Police, who is neutral in his political views, informs Rick that Victor Laszlo, a resistance leader from Czechoslovakia, is in Casablanca and will do anything to get an exit visa but Renault has been ""told"" by Major Strasser of the Gestapo, to keep Laszlo in Casablanca. Laszlo goes to Rick's to meet Ugarte, because he was the one Ugarte was going to sell the letters to. But since Ugarte was arrested he has to find another way. Accompanying him is Ilsa Lund, who knew Rick when he was in Paris, and when they meet some of Rick's old wounds reopen. It is obvious that Rick's stone heart was because of her leaving him. And when they learn that Rick has the letters, he refuses to give them to him, because ""he doesn't stick his neck out for anyone"".,Rick Blaine, who owns a nightclub in Casablanca, Morocco, discovers his old flame Ilsa is in town with her husband, Victor Laszlo. Laszlo is a resistance leader from Czechoslovakia, and with Germans on his tail, Ilsa knows Rick can help them get out of the country - but will he?"
49,Cinema Paradiso,"A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,A boy who grew up in a native Sicilian Village returns home as a famous director after receiving news about the death of an old friend. Told in a flashback, Salvatore reminiscences about his childhood and his relationship with Alfredo, a projectionist at Cinema Paradiso. Under the fatherly influence of Alfredo, Salvatore fell in love with film making, with the duo spending many hours discussing about films and Alfredo painstakingly teaching Salvatore the skills that became a stepping stone for the young boy into the world of film making. The film brings the audience through the changes in cinema and the dying trade of traditional film making, editing and screening. It also explores a young boy's dream of leaving his little town to foray into the world outside.,In post-World War II Sicily, at the small village of Giancaldo, the fatherless eight-year-old boy, Salvatore ""Totò"" Di Vita, befriends Alfredo, the grizzled projectionist of the local Cinema Paradiso, and gains a mentor, and the father he never had. As the wide-eyed boy becomes enchanted by the dazzling world of the movies, growing up with the everlasting characters of Akira Kurosawa, Jean Renoir, John Wayne, Charles Chaplin, and everything in between, his vivid dreams start taking shape, even though the village priest, Father Adelfio, never misses an opportunity to censor films. But, after thirty long years of absence, the death of a dear one forces silver-haired Salvatore, now a prominent film director, to reconnect with his old hometown, and his faded, celluloid-scented childhood memories. Can he remember the taste of youth's first kiss?,A man receives news from his aging mother in a little town that someone he once knew has passed away. A beautiful story unfolds about the man's childhood friendship with an old man who was the projectionist at the local theater. Their bond was one that contained many highlights and tragedies, and shaped the way for a young boy to grow and move out of his rundown village to pursue a dream."
50,Rear Window,"A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Professional photographer L.B. ""Jeff"" Jefferies breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.,L.B. ""Jeff"" Jefferies is an immobilized photo-journalist who, after breaking his leg photographing a racetrack accident, finds himself wheelchair bound and confined to the walls of his apartment. His rear window looks out onto a courtyard and several other apartments, where the binocular-wielding Jefferies spends his days as a voyeur spying on his neighbors. Jefferies gradually becomes more and more engrossed with this activity of his, and soon brings his girlfriend, Lisa, in on the thrill of his voyeurism. It's all fun and games for the two until they witness what they believe to be a murder in progress, becoming increasingly convinced as they continue to observe the apartment.,Photographer L.B. ""Jeff"" Jefferies is confined to his small apartment with a broken leg. To pass the time, he watches the goings-on of his motley assortment of neighbors - a frustrated yet fun-loving composer, a middle-aged couple with a small dog, a dancer who seems to enjoy practicing her routines while scantily clad, a pair of reclusive newlyweds, a lonely woman who seems to live in a fantasy world, and a salesman and his invalid wife. One day the wife inexplicably disappears, and the salesman starts doing things that lead Jeff to suspect that he may have murdered her. Unfortunately, he has no proof and no one seems to believe him. Eventually, however, things start falling together in a way that make it look like Jeff might just be right after all. Finally, his girlfriend Lisa and his nurse Stella come up with a plan to catch the killer red-handed. But doing so could put all of their lives in danger.,In 1950-something New York, an adventuresome free-lance photographer finds himself confined to a wheelchair in his tiny apartment while a broken leg mends. With only the occasional distraction of a visiting nurse and his frustrated love interest, a beautiful fashion consultant, his attention is naturally drawn to the courtyard outside his ""rear window"" and the occupants of the apartment buildings which surround it. Soon he is consumed by the private dramas of his neighbors lives which play themselves out before his eyes. There is ""Miss Lonelyhearts,"" so desperate for her imaginary lover that she sits him a plate at the dinner table and feigns their ensuing chat. There is the frustrated composer banging on his piano, the sunbathing sculptress, the shapely dancer, the newlyweds who are concealed from their neighbors by a window shade, and a bungling middle-aged couple with a little yapping dog who sleep on the fire escape to avoid the sweltering heat of their apartment. ...And then there is the mysterious salesman whose nagging, invalid wife's sudden absence from the scene ominously coincides with middle-of-the-night forays into the dark, sleeping city with his sample case. Where did she go? What's in the trunk that the salesman ships away? What's he been doing with the knives and the saw that he cleans at the kitchen sink?,Professional photographer L.B. ""Jeff"" Jefferies is a prisoner of sorts in his own apartment sporting a hip cast from one of his adventures. He has little to do and spends much of the time observing his neighbors, including a newlywed couple, a middle-aged woman who lives alone and a ballerina who seems to attract men without much effort. He becomes particularly interested in one neighbor, Lars Thorwald, a traveling salesman whose invalid wife spends much of her time in bed. When he sees Thorwald make several trips out of his apartment on a particularly rainy night, he begins to wonder what may be going on. The disappearance of his wife makes him think he may have murdered her. Jefferies has few visitors, but the elegant and beautiful Lisa Fremont, who is madly in love with him, sees him daily and while she is at first skeptical, soon comes around to his way of thinking. In order to get proof however, it will be necessary for her to enter Thorwald's apartment."
51,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
